Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Runtime,Release Year,Rating,Number of Ratings,Budget,Gross in US & Canada,Gross worldwide,Opening Weekend Gross in US & Canada,Month Watched
Murder Mystery 2,Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja is kidnapped at his own lavish wedding.,Jeremy Garelick,,"Action,Comedy,Crime",PG-13,1h 30m,2023,5.7/10,64K,,,,,4/1/2023
Tetris,"The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pazhitnov join forces in the USSR, risking it all to bring it to the masses.",Jon S. Baird,Noah Pink,"Biography,Drama,History",R,1h 58m,2023,7.4/10,74K,,,,,4/1/2023
Creed III,"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.",Michael B. Jordan,"Ryan Coogler,Keenan Coogler,Zach Baylin","Drama,Sport",PG-13,1h 56m,2023,6.8/10,87K,"$75,000,000 (estimated)","$156,248,615 ","$275,248,615 ","$58,370,007Mar 5, 2023",4/1/2023
Shazam! Fury of the Gods,"The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.",David F. Sandberg,"Henry Gayden,Chris Morgan,Bill Parker","Action,Adventure,Comedy",PG-13,2h 10m,2023,6.0/10,114K,"$125,000,000 (estimated)","$57,638,006 ","$133,838,006 ","$30,111,158Mar 19, 2023",4/1/2023
Black Panther: Wakanda Forever,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,Ryan Coogler,"Ryan Coogler,Stan Lee,Joe Robert Cole","Action,Adventure,Drama",PG-13,2h 41m,2022,6.7/10,291K,"$250,000,000 (estimated)","$453,829,060 ","$859,208,836 ","$181,339,761Nov 13, 2022",2/1/2023
Puss in Boots: The Last Wish,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Joel Crawford,Januel Mercado","Tommy Swerdlow,Tom Wheeler,Paul Fisher","Animation,Adventure,Comedy",PG,1h 42m,2022,7.8/10,161K,"$90,000,000 (estimated)","$185,535,345 ","$481,080,374 ","$12,429,515Dec 25, 2022",2/1/2023
Ant-Man and the Wasp: Quantumania,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?",Peyton Reed,"Stan Lee,Jeff Loveness,Larry Lieber","Action,Adventure,Comedy",PG-13,2h 4m,2023,6.1/10,213K,"$200,000,000 (estimated)","$214,504,909 ","$476,071,180 ","$106,109,650Feb 19, 2023",4/1/2023
Avatar: The Way of Water,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",James Cameron,"Amanda Silver,James Cameron,Rick Jaffa","Action,Adventure,Fantasy",PG-13,3h 12m,2022,7.6/10,469K,"$350,000,000 (estimated)","$684,075,767 ","$2,320,250,281.00 ","$134,100,226Dec 18, 2022",4/1/2023
Dungeons & Dragons: Honor Among Thieves,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","John Francis Daley,Jonathan Goldstein","John Francis Daley,Michael Gilio,Jonathan Goldstein","Action,Adventure,Comedy",PG-13,2h 14m,2023,7.3/10,202K,"$150,000,000 (estimated)","$93,277,026 ","$208,177,026 ","$37,205,784Apr 2, 2023",5/1/2023
Elemental,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",Peter Sohn,"Kat Likkel,Brenda Hsueh,John Hoberg","Animation,Adventure,Comedy",PG,1h 41m,2023,7.0/10,99K,"$200,000,000 (estimated)","$154,426,697 ","$495,923,852 ","$29,602,429Jun 18, 2023",12/1/2023
