id,name,number_of_seasons,number_of_episodes,original_language,vote_count,vote_average,overview,adult,backdrop_path,first_air_date,last_air_date,homepage,in_production,original_name,popularity,poster_path,type,status,tagline,genres,created_by,languages,networks,origin_country,spoken_languages,production_companies,production_countries,episode_run_time
156902,Kaleidoscope,1,9,en,283,7.009,"A master thief and his crew attempt an epic and elaborate heist worth $7 billion dollars — but betrayal, greed and other threats undermine their plans.",FALSE,/kSqEenES71d1ApF2rRWxp5X0en5.jpg,1/1/2023,1/1/2023,https://www.netflix.com/title/80992058,FALSE,Kaleidoscope,22.746,/2nXJoSB5Y6R9ne7pjqL7Cs3zqY1.jpg,Miniseries,Ended,There are 7 billion ways to solve a crime.,"Crime, Drama",Eric Garcia,"en, es",Netflix,US,"English, Español","Scott Free Productions, Automatik Entertainment, Nano Chameleon","United Kingdom, United States of America",0
121710,Inside Man,1,4,en,192,6.974,"A prisoner on death row in the US, a vicar in a quiet English town, and a maths teacher trapped in a cellar cross paths in the most unexpected way.",FALSE,/v78wDAtJOpb47NGbgdBXfx4UopY.jpg,9/26/2022,10/4/2022,https://www.bbc.co.uk/programmes/m001ck9r,FALSE,Inside Man,24.42,/7tZONSnzKylgzHJvtoOGjRmYlgU.jpg,Miniseries,Ended,,"Drama, Crime, Mystery",Steven Moffat,en,BBC One,GB,English,Hartswood Films,United Kingdom,60
135157,Alchemy of Souls,2,30,ko,411,8.622,"A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.",FALSE,/nBZyWSGAUEzCH7Mna0zUNTpBQlQ.jpg,6/18/2022,1/8/2023,https://program.tving.com/tvn/alchemyofsouls,FALSE,??,61.172,/gvOZN1NlAoL8iz9ghpES1zWA3w3.jpg,Scripted,Ended,,"Sci-Fi & Fantasy, Drama, Action & Adventure, Mystery","Hong Mi-ran, Hong Jeong-eun, Park Joon-hwa",ko,tvN,KR,???/???,Studio Dragon,South Korea,75
108284,Tale of the Nine Tailed,1,16,ko,395,8.5,A nine-tailed fox settles down in the city. A female television PD chases after the nine-tailed fox.,FALSE,/oPJQvS8Xyg7chAX0jQoC2smqMxv.jpg,10/7/2020,12/3/2020,http://program.tving.com/tvn/tvnninetailed,FALSE,????,21.999,/jXx9vLO9bwKxl81oVQnzEH7960V.jpg,Scripted,Ended,,"Sci-Fi & Fantasy, Drama, Comedy, Mystery",Han Woo-ri,ko,tvN,KR,???/???,"Studio Dragon, How Pictures",South Korea,70
117581,Ginny & Georgia,4,20,en,1397,8.1,"Angsty and awkward fifteen year old Ginny Miller often feels more mature than her thirty year old mother, the irresistible and dynamic Georgia Miller. After years on the run, Georgia desperately wants to put down roots in picturesque New England and give her family something they've never had... a normal life. But it's not all carpool and Kombucha as Georgia's past threatens her and her family's new way of life... and Georgia will do anything to protect her family.",FALSE,/lPmUu3xkoksz3xsa1feIUoOBZrg.jpg,2/24/2021,1/5/2023,https://www.netflix.com/title/81025696,TRUE,Ginny & Georgia,46.911,/j1yqOSVVskSYpYreNT0VeD1S3Dq.jpg,Scripted,Returning Series,,"Comedy, Drama",Sarah Lampert,en,Netflix,US,English,"Blue Ice Pictures, Dynamic Television",United States of America,59
78191,You,5,40,en,2788,8.078,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",FALSE,/2ZNFu0hkSVtAI6LRWGIlCPNd1Tj.jpg,9/9/2018,3/9/2023,https://www.netflix.com/title/80211991,TRUE,You,71.284,/7bEYwjUvlJW7GerM8GYmqwl4oS3.jpg,Scripted,Returning Series,A bloody good time.,Drama,"Greg Berlanti, Sera Gamble",en,"Lifetime, Netflix",US,English,"Berlanti Productions, Alloy Entertainment, Warner Bros. Television, A+E Studios, Man Sewing Dinosaur, Warner Horizon Television",United States of America,45
100757,Outer Banks,4,30,en,715,8.445,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",FALSE,/5O7CEMnV5bgJEj5pxf6XlhjqatC.jpg,4/15/2020,2/23/2023,https://www.netflix.com/title/80236318,TRUE,Outer Banks,34.516,/ovDgO2LPfwdVRfvScAqo9aMiIW.jpg,Scripted,Returning Series,Nothing to lose.,"Action & Adventure, Drama, Mystery","Josh Pate, Jonas Pate, Shannon Burke","en, es",Netflix,US,"English, Español",,United States of America,49
72517,Classroom of the Elite,2,25,ja,579,8.5,"Koudo Ikusei Senior High School is a leading prestigious school with state-of-the-art facilities where nearly 100% of students go on to university or find employment. The students there have the freedom to wear any hairstyle and bring any personal effects they desire. Koudo Ikusei is a paradise-like school, but the truth is that only the most superior of students receive favorable treatment.

Ayanokouji Kiyotaka is a student of D-class, which is where the school dumps its ""inferior"" students in order to ridicule them. For a certain reason, Kiyotaka was careless on his entrance examination, and was put in D-class. After meeting Horikita Suzune and Kushida Kikyou, two other students in his class, Kiyotaka’s situation begins to change.",FALSE,/c2sl2dLlyFFeb18pJtOpBD8cidr.jpg,7/12/2017,9/26/2022,http://you-zitsu.com/,TRUE,??????????????,36.132,/8BtSk9DGIlS24otIB3qCagVCI6W.jpg,Scripted,Returning Series,,"Drama, Animation",,"en, ja","AT-X, TV Aichi, Tokyo MX",JP,"English, ???","Lerche, KADOKAWA, Lantis",Japan,24
210195,The Playlist,1,6,sv,65,7.192,How Swedish tech entrepreneur Daniel Ek and business partner Martin Lorentzon revolutionized the music industry through free and legal music streaming when they launched Spotify.,FALSE,/jIJRg7AVzlDHJeD7PgHCGt5ndTm.jpg,10/13/2022,10/13/2022,https://www.netflix.com/title/81186296,FALSE,The Playlist,11.116,/h8uwJF6ZCtujtDyvg8pcNdMe11B.jpg,Miniseries,Ended,Changing the world means making some noise.,Drama,,"en, sv, no",Netflix,SE,"English, svenska, Norsk",Yellow Bird UK,United Kingdom,50
133903,Marvel's Hit-Monkey,1,10,en,108,7.991,"A Japanese snow macaque's clan meets a stranded hitman, Bryce, and nurses him back to health. But when Bryce bites the dust, it's up to the titular simian (guided by Bryce's ghost) to follow in his assassin footsteps and seek vengeance.",FALSE,/yT5ZZ3kOtCzJJVLKKp2YCNrOKrh.jpg,11/17/2021,11/17/2021,https://www.hulu.com/series/22dc20c4-eaed-492d-887e-e087585c0532,TRUE,Marvel's Hit-Monkey,13.905,/1aK7hApRSDUv8xxDQXyQil7qBjN.jpg,Scripted,Returning Series,Revenge goes primal.,"Animation, Action & Adventure","Josh Gordon, Will Speck",en,Hulu,US,English,"Marvel Television, Floyd County Productions, 20th Television Animation, Speck Gordon, 20th Television",United States of America,25
76479,The Boys,4,32,en,8721,8.474,A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,FALSE,/thLAoL6VeZGmCyDpCOeoxLvA8yS.jpg,7/25/2019,7/7/2022,https://www.amazon.com/dp/B0875L45GK,TRUE,The Boys,256.856,/7Ns6tO3aYjppI5bFhyYZurOYGBT.jpg,Scripted,Returning Series,Never meet your heroes.,"Sci-Fi & Fantasy, Action & Adventure",Eric Kripke,en,Prime Video,US,English,"Amazon Studios, Original Film, Sony Pictures Television Studios, Kripke Enterprises, Point Grey Pictures, Kickstart, NightSky Productions",United States of America,60
222839,How to Get Rich,1,8,en,10,5.4,Money holds power over us — but it doesn't have to. Finance expert Ramit Sethi works with people across the US to help them achieve their richest lives.,FALSE,/icqdnXpS3q47dKCyeufr7M7K2O5.jpg,4/18/2023,4/18/2023,https://www.netflix.com/title/81410436,TRUE,How to Get Rich,6.493,/toThjfZ0mgZfQDz7NROBDHaRD7v.jpg,Documentary,Returning Series,,Documentary,,en,Netflix,US,English,,,40
102905,History 101,2,20,en,80,7.025,"Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries.",FALSE,/26n5jkv3FGfAjgzFp82GdL4LSEF.jpg,5/22/2020,8/25/2022,https://www.netflix.com/title/81116168,TRUE,History 101,14.936,/3wY1EwinwrtpNZCwFmpDHZ5ISaK.jpg,Documentary,Returning Series,,Documentary,,en,Netflix,GB,English,ITN Productions,United Kingdom,22
114472,Secret Invasion,1,6,en,732,7.1,Nick Fury and Talos discover a faction of shapeshifting Skrulls who have been infiltrating Earth for years.,FALSE,/57clBMPX25NNO6nmDw3TV3zQaQE.jpg,6/21/2023,7/26/2023,https://www.disneyplus.com/series/secret-invasion/3iHQtD1BDpgN,FALSE,Secret Invasion,160.928,/f5ZMzzCvt2IzVDxr54gHPv9jlC9.jpg,Miniseries,Ended,Who do you trust?,"Drama, Sci-Fi & Fantasy, Action & Adventure",Kyle Bradstreet,en,Disney+,US,English,"Marvel Studios, Kevin Feige Productions",United States of America,0
71912,The Witcher,3,24,en,5159,8.132,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",FALSE,/foGkPxpw9h8zln81j63mix5B7m8.jpg,12/20/2019,7/27/2023,https://www.netflix.com/title/80189685,TRUE,The Witcher,240.462,/cZ0d3rtvXPVvuiX22sP79K3Hmjz.jpg,Scripted,Returning Series,Destiny is a beast.,"Drama, Action & Adventure, Sci-Fi & Fantasy",Lauren Schmidt Hissrich,en,Netflix,US,English,"Sean Daniel Company, Platige Image, Hivemind, Little Schmidt Productions, Platige Films","Poland, United States of America",0
81356,Sex Education,4,32,en,6647,8.304,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,FALSE,/5SEEBS5qXgL5rgivTiAROy1Qt2q.jpg,1/11/2019,9/21/2023,https://www.netflix.com/title/80197526,FALSE,Sex Education,1008.977,/zn6VNUOHGWKvSGRL6KiMtAe9ELy.jpg,Scripted,Ended,Growth is a group project.,"Comedy, Drama",Laurie Nunn,en,Netflix,GB,English,Eleven,United Kingdom,0
46952,The Blacklist,10,218,en,2834,7.619,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",FALSE,/2eIlCirgcvEwmCSYh2wDfz5Sxvz.jpg,9/23/2013,7/13/2023,http://www.nbc.com/the-blacklist,FALSE,The Blacklist,416.841,/r935SMphvXppx5bJjbIBNx02fwc.jpg,Scripted,Ended,Never trust a criminal... Until you have to.,"Drama, Crime, Mystery",Jon Bokenkamp,en,NBC,US,English,"Sony Pictures Television Studios, Davis Entertainment, Universal Television",United States of America,43
